,ts_code,name,industry_detail,industry
939,002486.SZ,嘉麟杰,纺织服装-服装家纺-其他服装,纺织服装
940,002487.SZ,大金重工,机械设备-金属制品Ⅱ-金属制品Ⅲ,机械设备
941,002488.SZ,金固股份,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
942,002489.SZ,浙江永强,轻工制造-家用轻工-家具,轻工制造
943,002490.SZ,山东墨龙,机械设备-专用设备-冶金矿采化工设备,机械设备
944,002491.SZ,通鼎互联,通信-通信设备-通信传输设备,通信
945,002492.SZ,恒基达鑫,交通运输-物流Ⅱ-物流Ⅲ,交通运输
946,002493.SZ,荣盛石化,化工-化学纤维-涤纶,化工
947,002494.SZ,华斯股份,纺织服装-服装家纺-其他服装,纺织服装
948,002495.SZ,佳隆股份,食品饮料-食品加工-调味发酵品,食品饮料
949,002496.SZ,*ST辉丰,化工-化学制品-农药,化工
950,002497.SZ,雅化集团,化工-化学制品-民爆用品,化工
951,002498.SZ,汉缆股份,电气设备-高低压设备-线缆部件及其他,电气设备
952,002499.SZ,*ST科林,公用事业-电力-新能源发电,公用事业
953,002500.SZ,山西证券,非银金融-证券Ⅱ-证券Ⅲ,非银金融
954,002501.SZ,*ST利源,有色金属-工业金属-铝,有色金属
955,002502.SZ,*ST鼎龙,传媒-互联网传媒-移动互联网服务,传媒
956,002503.SZ,搜于特,纺织服装-服装家纺-休闲服装,纺织服装
957,002504.SZ,弘高创意,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑装饰
958,002505.SZ,大康农业,商业贸易-贸易Ⅱ-贸易Ⅲ,商业贸易
959,002506.SZ,协鑫集成,电气设备-电源设备-光伏设备,电气设备
960,002507.SZ,涪陵榨菜,食品饮料-食品加工-食品综合,食品饮料
961,002508.SZ,老板电器,家用电器-白色家电-小家电,家用电器
962,002510.SZ,天汽模,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
963,002511.SZ,中顺洁柔,轻工制造-造纸Ⅱ-造纸Ⅲ,轻工制造
964,002512.SZ,达华智能,计算机-计算机设备Ⅱ-计算机设备Ⅲ,计算机
965,002513.SZ,*ST蓝丰,化工-化学制品-农药,化工
966,002514.SZ,宝馨科技,机械设备-通用机械-机械基础件,机械设备
967,002515.SZ,金字火腿,食品饮料-食品加工-肉制品,食品饮料
968,002516.SZ,旷达科技,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
969,002517.SZ,恺英网络,传媒-互联网传媒-移动互联网服务,传媒
970,002518.SZ,科士达,电气设备-电源设备-储能设备,电气设备
971,002519.SZ,银河电子,家用电器-视听器材-其它视听器材,家用电器
972,002520.SZ,日发精机,机械设备-通用机械-机床工具,机械设备
973,002521.SZ,齐峰新材,轻工制造-造纸Ⅱ-造纸Ⅲ,轻工制造
974,002522.SZ,浙江众成,轻工制造-包装印刷Ⅱ-包装印刷Ⅲ,轻工制造
975,002523.SZ,天桥起重,机械设备-专用设备-重型机械,机械设备
976,002524.SZ,光正集团,医药生物-医疗服务Ⅱ-医疗服务Ⅲ,医药生物
977,002526.SZ,山东矿机,机械设备-专用设备-冶金矿采化工设备,机械设备
978,002527.SZ,新时达,电气设备-电气自动化设备-工控自动化,电气设备
979,002528.SZ,英飞拓,计算机-计算机设备Ⅱ-计算机设备Ⅲ,计算机
980,002529.SZ,*ST海源,机械设备-专用设备-其它专用机械,机械设备
981,002530.SZ,金财互联,计算机-计算机应用-IT服务,计算机
982,002531.SZ,天顺风能,电气设备-电源设备-风电设备,电气设备
983,002532.SZ,新界泵业,机械设备-通用机械-其它通用机械,机械设备
984,002533.SZ,金杯电工,电气设备-高低压设备-线缆部件及其他,电气设备
985,002534.SZ,杭锅股份,电气设备-电源设备-其它电源设备,电气设备
986,002535.SZ,*ST林重,机械设备-专用设备-冶金矿采化工设备,机械设备
987,002536.SZ,飞龙股份,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
988,002537.SZ,海联金汇,计算机-计算机应用-IT服务,计算机
989,002538.SZ,司尔特,化工-化学制品-复合肥,化工
990,002539.SZ,云图控股,化工-化学制品-复合肥,化工
991,002540.SZ,亚太科技,有色金属-工业金属-铝,有色金属
992,002541.SZ,鸿路钢构,建筑装饰-专业工程-钢结构,建筑装饰
993,002542.SZ,中化岩土,建筑装饰-专业工程-其他专业工程,建筑装饰
994,002543.SZ,万和电气,家用电器-白色家电-小家电,家用电器
995,002544.SZ,杰赛科技,通信-通信设备-通信配套服务,通信
996,002545.SZ,东方铁塔,化工-化学制品-钾肥,化工
997,002546.SZ,新联电子,电气设备-电气自动化设备-计量仪表,电气设备
998,002547.SZ,春兴精工,电子-电子制造-电子零部件制造,电子
